"id","price_doc"
30474,5733917.29207238
30475,7496289.53926218
30476,5403196.61782957
30477,5779517.27916424
30478,5800361.74043109
30479,9744824.74491329
30480,5219372.21251227
30481,4936698.7714656
30482,5037096.70474703
30483,5281329.66812681
30484,7450895.4328041
30485,5753439.43786792
30486,4370945.57187228
30487,4681774.98477353
30488,5652622.37803626
30489,6239304.7168196
30490,16851555.986969
30491,13022618.0931139
30492,5937415.07016997
30493,11890792.7523265
30494,7161575.68900531
30495,10414329.1383393
30496,7201813.45059649
30497,7728975.33510518
30498,5051249.18392758
30499,5775004.89531328
30500,11006922.4154774
30501,7745208.39599937
30502,3720134.14015771
30503,5313749.07355517
30504,5517384.20797003
30505,10493647.7006681
30506,2822226.09293217
30507,5589815.74400079
30508,5933135.867884
30509,6953806.03810985
30510,9408167.43112691
30511,6715965.83983594
30512,7693411.60833127
30513,5209987.9613417
30514,2697950.73280249
30515,10068205.932139
30516,6100650.55392926
30517,10191356.6375226
30518,6937240.00251512
30519,5023855.78641412
30520,7458488.21696919
30521,5066958.51940863
30522,7611137.24567929
30523,6215898.73246836
30524,7676401.24108064
30525,9902834.42137465
30526,5639333.62286695
30527,5303729.77673467
30528,6446441.59824606
30529,6689718.96803109
30530,6961688.92338565
30531,10407895.2688427
30532,5274096.93128968
30533,8812308.58156051
30534,7084178.08302262
30535,9595941.31066769
30536,5862284.94522111
30537,10288739.1812069
30538,5449418.8243555
30539,8336748.32727455
30540,10102099.5634602
30541,5904084.05908383
30542,2271772.14375631
30543,4893406.59016025
30544,6212449.62638394
30545,8699000.07119246
30546,4553137.97806414
30547,9906253.76845941
30548,5215481.19433622
30549,5648440.69445014
30550,9701983.73050232
30551,5778806.30351808
30552,2241905.25056917
30553,6246335.93936246
30554,8123669.36519075
30555,6385949.98710158
30556,9150941.58682348
30557,6050785.45664208
30558,8337766.05898632
30559,5937975.67039372
30560,6251073.52711953
30561,7004503.36019217
30562,12978381.2027449
30563,4905901.31657507
30564,6068457.33942388
30565,6859100.12543393
30566,6675277.91860259
30567,2270210.61131642
30568,9933537.40237582
30569,8010814.92281444
30570,7457293.33379851
30571,8540335.22820665
30572,5665083.36160407
30573,7922712.90214517
30574,5675904.37676166
30575,9872132.18993741
30576,4693554.76332851
30577,4362562.51217995
30578,2831810.56185234
30579,7620644.61686017
30580,4481453.86233497
30581,5824968.81428244
30582,11162166.2622596
30583,7109361.81504583
30584,4734595.68935581
30585,3700499.41144926
30586,8797026.43447568
30587,5604778.14710635
30588,7840259.05655847
30589,6922706.95170133
30590,9746032.96051162
30591,4613372.95217384
30592,6419937.70695931
30593,7163959.69002151
30594,7319991.9207271
30595,6089263.6640304
30596,6115236.32129734
30597,7953387.78314049
30598,9808692.85409988
30599,9469937.44449577
30600,5401336.74442638
30601,6978765.90000226
30602,2191973.26518433
30603,11749010.9876588
30604,4967623.23609729
30605,7655623.73235244
30606,9065158.15722932
30607,6806578.9694527
30608,7413535.11796292
30609,6198270.35995928
30610,3694082.07090398
30611,5870038.79477905
30612,6507394.51491092
30613,9293417.04836992
30614,17170293.8694037
30615,6725689.02151382
30616,5997403.03445874
30617,6522647.93694089
30618,4888038.14568769
30619,4872158.62487965
30620,2702918.55477035
30621,9851835.94411168
30622,7901758.5140074
30623,6276245.78977864
30624,6405462.02136284
